GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Albania,Number,Males,From 1 to 4 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	2,102 e	2,057 e	1,851	1,726 e	1,731 e	1,670	1,473	1,449	1,348	1,299 e
European Union - 28 countries (2013-2020),Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	2,332 e	2,281 e	2,079	1,932 e	1,925 e	1,883	1,673	1,660	1,518	1,480 e
Belgium,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	:	:	30	30	37	35	32	31	22	33
Bulgaria,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	58	56	54	53	52	59	44	64	58	43
Czechia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	44	51	42	36	32	44	26	26	26	22
Denmark,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	29	20	18	19	17	19	16	16	9	:
Germany (until 1990 former territory of the FRG),Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	252	234	275	216	234	217	220	186	171	173
Estonia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	15	15	7	7	11	7	7	0	0	7
Ireland,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	20	17	19	25	16	23	8	19	10	12
Greece,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	42	41	29	50	42	33	35	34	29	33
Spain,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	156	156	154	134	125	163	127	160	112	119
France,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	277	272	235	204	231	210	192	185	199	206
France (metropolitan),Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	257	260	223	194	215	190	175	175	187	191
Croatia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	25	22	22	17	21	19	16	16	13	17
Italy,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	175	229	158	:	:	154	153	121	135	129
Cyprus,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	9	10	5	0	10	0	0	0	0	0
Latvia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	30	29	21	25	21	19	17	16	18	16
Lithuania,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	43	38	24	30	43	38	25	29	18	12
Luxembourg,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	51	59	47	46	47	33	32	34	35	30
Malta,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	74	65	93	53	61	56	44	40	53	38
Austria,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	24	31	27	29	33	24	22	14	22	13
Poland,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	256	236	223	201	167	183	147	150	149	123
Portugal,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	67	61	62	58	61	45	43	38	35	40
Romania,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	281	261	226	226	209	198	193	193	159	166
Slovenia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	11	8	6	7	0	0	4	0	0	0
Slovakia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	53	50	28	33	40	37	29	25	24	23
Finland,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	29	21	16	27	26	14	13	21	12	14
Sweden,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	23	16	28	37	33	30	20	17	28	13
United Kingdom,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	230	224	228	206	194	213	200	211	170	181
Iceland,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	18	31	23	14	19	0	10	16	18	14
Switzerland,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	23	24	25	16	29	27	21	22	19	13
North Macedonia,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	24	27	13	14	9	8	9	6	17	11
Albania,Number,Males,From 5 to 9 years,All causes of death (A00-Y89) excluding S00-T98	88	83	84	108	:	:	:	:	:	25
European Union - 27 countries (from 2020),Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	73 e	56 e	51	50 e	40 e	47	40	31	33	33 e
European Union - 28 countries (2013-2020),Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	86 e	64 e	63	58 e	44 e	54	50	38	41	45 e
Belgium,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	2	2	1	3	2	1	1	1
Bulgaria,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	0	1	1	3	3	1	2
Czechia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	2	0	1	1	0	1	1
Denmark,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	1	0	0	0	1	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	10	7	5	5	7	6	4	8	4	6
Estonia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	1	0	0	0	1	1	1
Greece,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	1	1	1	1	1	0	1
Spain,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	9	9	10	7	2	4	7	5	3	1
France,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	13	9	7	7	6	5	5	2	8	7
France (metropolitan),Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	8	9	7	5	6	3	4	2	8	6
Croatia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	1	0	0	0	0	0	0	0
Italy,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	4	6	4	:	:	6	4	1	1	7
Cyprus,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	1	1	1	1	0	0	0	0
Lithuania,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	2	0	0	0	0	0	0
Luxembourg,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	0	1	2	0	0	0	0
Malta,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	2	1	1	1	3	0	0	0	0
Austria,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	1	1	2	0	0	0	1	0
Poland,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	7	6	6	5	4	9	5	3	8	2
Portugal,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	4	0	1	4	1	0	1	0	1
Romania,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	14	5	10	8	3	1	6	2	3	3
Slovenia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	1	1	0	0	2	0	0
Finland,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	2	0	1	0	0	1	1	0	1	0
Sweden,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	2	1	0	1	2	1	0	0	0
United Kingdom,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	13	8	12	8	4	7	10	7	8	12
Iceland,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	4	0	1	0	0	0	0	1
Switzerland,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	0	0	1	0	0	0	0
North Macedonia,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	1	0	0	1	0	0	1	1
Albania,Number,Males,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	2	1	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,From 5 to 9 years,Tuberculosis	1 e	2 e	4	1 e	1 e	2	0	1	3	0 e
European Union - 28 countries (2013-2020),Number,Males,From 5 to 9 years,Tuberculosis	1 e	2 e	4	1 e	1 e	2	0	1	3	0 e
Belgium,Number,Males,From 5 to 9 years,Tuberculosis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
Czechia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Estonia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 5 to 9 years,Tuberculosis	0	1	0	0	0	0	0	0	1	0
France,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
France (metropolitan),Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Croatia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	:	:	1	0	0	0	0
Cyprus,Number,Males,From 5 to 9 years,Tuberculosis	:	:	:	0	0	0	0	0	:	0
Latvia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	1	0	0	0	0
Lithuania,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	:	0	0	0	:	:	0
Hungary,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 5 to 9 years,Tuberculosis	1	0	1	0	0	0	0	0	1	0
Portugal,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Males,From 5 to 9 years,Tuberculosis	0	1	3	0	0	0	0	1	1	0
Slovenia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	1	0	0	0	0	0	0
Finland,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Iceland,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	:	0	:	:	0	:
Norway,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 5 to 9 years,Tuberculosis	0	0	0	0	0	1	0	0	0	0
Albania,Number,Males,From 5 to 9 years,Tuberculosis	0	1	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1 e	1 e	1	1 e	1 e	1	3	2	0	1 e
European Union - 28 countries (2013-2020),Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1 e	1 e	1	1 e	1 e	1	3	2	0	1 e
Belgium,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	2	1	0	0
Czechia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	1	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Estonia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	:	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	1	0	0	0	0	0
France (metropolitan),Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	1	0	1	0	0	0	0	0
Croatia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	1	1	0	0	0
Cyprus,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	:	0	0	0	:	0	0
Latvia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	1	0	0	0	0	0	0	0	0
Lithuania,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	:	0	0	0	:	0	:	0	0
Hungary,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	1
Slovenia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Iceland,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	:	:	:	0	:	:	:
Norway,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Albania,Number,Males,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	:	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	13 e	7 e	3	6 e	3 e	2	0	0	0	3 e
European Union - 28 countries (2013-2020),Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	13 e	7 e	4	7 e	3 e	2	0	0	1	3 e
Belgium,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	1
Bulgaria,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Czechia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	:	0	0	0	0
Denmark,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	1
Estonia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	1	0	0	0	0	0	0
Greece,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	3	1	1	1	1	0	0	0	0	0
France,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	1	1	3	0	0	0	0	0	0
France (metropolitan),Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	1	1	2	0	0	0	0	0	0
Croatia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	1	0	:	:	1	0	0	0	0
Cyprus,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	:
Latvia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	:	0	0	0	:	:
Hungary,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Malta,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	2	0	0	1	0	0	0	0	0
Romania,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	6	2	1	1	1	1	0	0	0	1
Slovenia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	:	0	0
Finland,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	1	1	0	0	0	0	1	0
Iceland,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	0	0	:	:	:
Albania,Number,Males,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	3,031 e	2,744 e	2,646	2,268 e	2,094 e	2,026	1,928	1,805	1,797	1,626 e
European Union - 28 countries (2013-2020),Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	3,400 e	3,071 e	2,954	2,550 e	2,406 e	2,325	2,198	2,023	2,013	1,824 e
Belgium,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	:	:	59	35	50	39	48	33	40	43
Bulgaria,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	89	79	89	72	75	63	52	60	57	55
Czechia,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	61	54	64	51	56	49	46	46	48	35
Denmark,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	31	19	24	35	17	24	22	25	16	:
Germany (until 1990 former territory of the FRG),Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	384	341	346	272	273	239	223	229	218	221
Estonia,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	23	13	17	10	7	9	9	0	0	5
Ireland,Number,Males,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	23	29	28	16	18	19	32	27	17	19
